Round,Date,Time,Home,Score,Away,Attendance,Location,Referee
Finalización — First stage,2025-11-13,19:00,AD Cali,1–1,Once Caldas,"3,000",Estadio Deportivo Cali,Jairo Mayorga
Finalización — First stage,2025-11-13,19:00,Pasto,3–0,CA Bucaramanga,"1,000",Estadio Departamental Libertad,Diego Ulloa
Finalización — First stage,2025-11-13,19:00,Rionegro,1–2,Tolima,"1,000",Estadio Alberto Grisales,Carlos Ortega
Finalización — First stage,2025-11-13,19:00,Llaneros,0–3,Envigado,"2,000",Estadio Bello Horizonte,Luis Delgado
Finalización — First stage,2025-11-13,19:00,Independiente,3–0,CD América,"17,276",Estadio Atanasio Girardot,Alexander Ortiz
Finalización — First stage,2025-11-13,19:00,Santa Fe,1–0,Alianza,"18,589",Estadio Nemesio Camacho El Campín,Jhon Ospina
Finalización — First stage,2025-11-13,19:00,Unión Magdalena,2–0,Fortaleza FC,,Estadio Sierra Nevada,Jonathan Ortíz
Finalización — Cuadrangulares,2025-11-18,18:30,Fortaleza FC,0–1,Tolima,"3,500",Estadio Metropolitano de Techo,Carlos Betancourt
Finalización — Cuadrangulares,2025-11-19,18:30,CA Bucaramanga,1–0,Santa Fe,"21,000",Estadio Américo Montanini,Luis Delgado
Finalización — Cuadrangulares,2025-11-19,20:30,Junior,1–0,Independiente,"20,546",Estadio Metropolitano Roberto Meléndez,Andrés Rojas
Finalización — Cuadrangulares,2025-11-20,19:30,Nacional,1–0,CD América,"36,550",Estadio Atanasio Girardot,Carlos Ortega
Finalización — Cuadrangulares,2025-11-22,17:00,Santa Fe,3–0,Fortaleza FC,"12,755",Estadio Nemesio Camacho El Campín,Alexander Ortiz
Finalización — Cuadrangulares,2025-11-22,19:30,Tolima,0–0,CA Bucaramanga,"11,588",Estadio Manuel Murillo Toro,Álvaro Meléndez
Finalización — Cuadrangulares,2025-11-23,17:45,Independiente,0–0,Nacional,"36,268",Estadio Atanasio Girardot,Luis Delgado
Finalización — Cuadrangulares,2025-11-23,20:00,CD América,1–1,Junior,"5,611",Estadio Olímpico Pascual Guerrero,Wilmar Montaño
Finalización — Cuadrangulares,2025-11-25,19:30,Santa Fe,1–2,Tolima,"10,500",Estadio Nemesio Camacho El Campín,Diego Ruiz
Finalización — Cuadrangulares,2025-11-26,18:30,CA Bucaramanga,1–2,Fortaleza FC,"18,000",Estadio Américo Montanini,Carlos Ortega
Finalización — Cuadrangulares,2025-11-26,20:30,Nacional,1–1,Junior,"12,000",Estadio Atanasio Girardot,Diego Ulloa
Finalización — Cuadrangulares,2025-11-27,19:30,CD América,2–1,Independiente,"5,940",Estadio Olímpico Pascual Guerrero,Carlos Márquez
Finalización — Cuadrangulares,2025-11-29,17:30,Tolima,1–0,Santa Fe,"15,970",Estadio Manuel Murillo Toro,Diego Ulloa
Finalización — Cuadrangulares,2025-11-29,20:00,Fortaleza FC,0–2,CA Bucaramanga,"4,000",Estadio Municipal de Cota,Alejandro Moncada
Finalización — Cuadrangulares,2025-11-30,18:30,Junior,2–1,Nacional,"44,260",Estadio Metropolitano Roberto Meléndez,Andrés Rojas
Finalización — Cuadrangulares,2025-12-01,20:00,Independiente,1–1,CD América,"17,276",Estadio Atanasio Girardot,Alexander Ortiz
Finalización — Cuadrangulares,2025-12-03,18:20,Fortaleza FC,1–2,Santa Fe,"2,000",Estadio Municipal de Cota,Álvaro Meléndez
Finalización — Cuadrangulares,2025-12-03,20:30,CA Bucaramanga,0–0,Tolima,"25,000",Estadio Américo Montanini,Andrés Rojas
Finalización — Cuadrangulares,2025-12-04,18:30,Nacional,2–1,Independiente,"35,026",Estadio Atanasio Girardot,Wilmar Roldán
Finalización — Cuadrangulares,2025-12-04,20:35,Junior,2–1,CD América,"45,000",Estadio Metropolitano Roberto Meléndez,Jairo Mayorga
Finalización — Cuadrangulares,2025-12-08,15:00,Tolima,1–0,Fortaleza FC,"4,000",Estadio Manuel Murillo Toro,Luis Delgado
Finalización — Cuadrangulares,2025-12-08,17:15,Independiente,2–1,Junior,"9,527",Estadio Atanasio Girardot,Jhon Ospina
Finalización — Cuadrangulares,2025-12-08,17:15,CD América,3–2,Nacional,"2,000",Estadio Olímpico Pascual Guerrero,Andrés Rojas
Finalización — Cuadrangulares,2025-12-08,19:20,Santa Fe,0–0,CA Bucaramanga,"4,000",Estadio Nemesio Camacho El Campín,Carlos Ortega
Finalización — Final,2025-12-12,20:00,Junior,3–0,Tolima,"46,692",Estadio Metropolitano Roberto Meléndez,Carlos Betancourt
Finalización — Final,2025-12-16,19:30,Tolima,0–1,Junior,"25,000",Estadio Manuel Murillo Toro,Andrés Rojas
