Round,Date,Time,Home,Score,Away,Attendance,Location,Referee
Apertura — First stage,2025-03-22,20:30,Santa Fe,3–2,Millonarios,"24,706",Estadio Nemesio Camacho El Campín,Carlos Ortega
Apertura — First stage,2025-03-23,15:30,Alianza,1–2,CA Bucaramanga,"8,000",Estadio Armando Maestre Pavajeau,Luis Gracia
Apertura — First stage,2025-03-23,17:45,Nacional,1–1,Independiente,"41,814",Estadio Atanasio Girardot,Jhon Ospina
Apertura — First stage,2025-03-23,20:00,Rionegro,1–0,Envigado,500,Estadio Alberto Grisales,Luis G. Matorel
Apertura — First stage,2025-03-24,16:00,Tolima,1–0,Llaneros,"8,000",Estadio Manuel Murillo Toro,Carlos Márquez
Apertura — First stage,2025-03-24,18:10,AD Cali,1–1,CD América,"24,952",Estadio Deportivo Cali,Wilmar Roldán
Apertura — First stage,2025-03-26,16:00,Alianza,0–0,Fortaleza FC,"8,000",Estadio Armando Maestre Pavajeau,David Espinosa
Apertura — First stage,2025-03-26,18:30,Junior,2–1,Unión Magdalena,"8,000",Estadio Metropolitano Roberto Meléndez,Ferney Trujillo
Apertura — First stage,2025-03-26,20:30,Millonarios,2–0,Santa Fe,"28,960",Estadio Nemesio Camacho El Campín,Alexander Ortiz
Apertura — First stage,2025-03-27,18:00,Once Caldas,1–0,Llaneros,"9,902",Estadio Palogrande,Alejandro Moncada
Apertura — First stage,2025-03-27,20:10,CD América,3–0,Boyacá Chicó,"19,400",Estadio Olímpico Pascual Guerrero,Jairo Mayorga
Apertura — First stage,2025-03-28,19:30,CA Bucaramanga,2–0,Nacional,"18,000",Estadio Américo Montanini,Luis G. Matorel
Apertura — First stage,2025-03-29,18:05,Pasto,1–1,AD Cali,"10,000",Estadio Departamental Libertad,Stiven Camargo
Apertura — First stage,2025-03-29,20:10,Independiente,0–0,Rionegro,"25,719",Estadio Atanasio Girardot,Álvaro Meléndez
Apertura — First stage,2025-03-30,15:30,Millonarios,2–0,Alianza,"20,540",Estadio Nemesio Camacho El Campín,Mauricio Palencia
Apertura — First stage,2025-03-30,17:45,Unión Magdalena,0–1,Santa Fe,"6,000",Estadio Sierra Nevada,Bismarks Santiago
Apertura — First stage,2025-03-30,20:00,CD América,1–0,Fortaleza FC,"15,000",Estadio Olímpico Pascual Guerrero,Carlos Mosquera
Apertura — First stage,2025-03-31,19:30,La Equidad,0–1,Junior,"8,000",Estadio Metropolitano de Techo,Luis Gracia
Apertura — First stage,2025-04-01,18:00,Llaneros,2–1,Pereira,100,Estadio Bello Horizonte,Lizmair
Apertura — First stage,2025-04-01,20:10,Boyacá Chicó,1–4,Tolima,500,Estadio de la Independencia,Alejandro Moncada
Apertura — First stage,2025-04-04,16:00,Alianza,1–2,Envigado,"3,000",Estadio Armando Maestre Pavajeau,Jairo Mayorga
Apertura — First stage,2025-04-04,19:00,Santa Fe,1–1,Pasto,"10,030",Estadio Nemesio Camacho El Campín,Luis Gracia
Apertura — First stage,2025-04-05,14:00,Nacional,1–0,Unión Magdalena,"32,341",Estadio Atanasio Girardot,Andrés Rojas
